state,stage,year,completion,rank
Putrajaya,Upper Secondary,2016,109.4761,1
Kelantan,Upper Secondary,2019,109.2,1
Putrajaya,Upper Secondary,2019,103.6,2
Labuan,Upper Secondary,2016,101.9983,2
Putrajaya,Upper Secondary,2022,101.7,1
Kuala Lumpur,Upper Secondary,2016,100.5322,3
Kedah,Upper Secondary,2021,100.5,1
Pulau Pinang,Upper Secondary,2022,100.5,2
Terengganu,Upper Secondary,2021,100.5,2
Negeri Sembilan,Upper Secondary,2022,100.4,3
Selangor,Upper Secondary,2016,100.3258,4
Kelantan,Upper Secondary,2021,100.3,3
Perak,Upper Secondary,2022,100.3,4
Pulau Pinang,Upper Secondary,2016,100.1947,5
Negeri Sembilan,Upper Secondary,2016,100.1393,6
Pahang,Upper Secondary,2022,100,5
Terengganu,Upper Secondary,2019,99.9,3
Labuan,Upper Secondary,2019,99.9,4
Pahang,Upper Secondary,2016,99.6813,7
Pahang,Upper Secondary,2021,99.6,4
Sabah,Upper Secondary,2022,99.6,6
Terengganu,Upper Secondary,2016,99.5952,8
Johor,Upper Secondary,2016,99.5156,9
Kelantan,Upper Secondary,2022,99.4,7
Kuala Lumpur,Upper Secondary,2019,99.4,5
Selangor,Upper Secondary,2022,99.3,8
Labuan,Upper Secondary,2022,99.3,9
Johor,Upper Secondary,2017,99.2906,1
Melaka,Upper Secondary,2016,99.2746,10
Kedah,Upper Secondary,2022,99.2,10
Pahang,Upper Secondary,2018,99.1357,1
Perak,Upper Secondary,2016,99.1,11
Kedah,Upper Secondary,2016,99.0933,12
Terengganu,Upper Secondary,2022,99,11
Sarawak,Upper Secondary,2022,98.9,12
Perak,Upper Secondary,2021,98.8,5
Sabah,Upper Secondary,2021,98.7,6
Negeri Sembilan,Upper Secondary,2021,98.6,7
Kelantan,Upper Secondary,2016,98.4254,13
Melaka,Upper Secondary,2018,98.245,2
Melaka,Upper Secondary,2021,98.2,8
Terengganu,Upper Secondary,2018,98.1639,3
Johor,Upper Secondary,2022,98.1,13
Terengganu,Upper Secondary,2017,98.0835,2
Johor,Upper Secondary,2019,98,6
Perak,Upper Secondary,2019,97.9,7
Perlis,Upper Secondary,2022,97.9,14
Melaka,Upper Secondary,2017,97.8254,3
Sarawak,Upper Secondary,2016,97.7736,14
Kelantan,Upper Secondary,2020,97.7,1
Melaka,Upper Secondary,2022,97.7,15
Selangor,Upper Secondary,2018,97.6012,4
Sabah,Upper Secondary,2016,97.5882,15
Pahang,Upper Secondary,2020,97.5,2
Sarawak,Upper Secondary,2021,97.5,9
Kuala Lumpur,Upper Secondary,2022,97.5,16
Kedah,Upper Secondary,2017,97.451,4
Perak,Upper Secondary,2018,97.4355,5
Perlis,Upper Secondary,2021,97.4,10
Selangor,Upper Secondary,2017,97.3706,5
Putrajaya,Upper Secondary,2017,97.0238,6
Labuan,Upper Secondary,2017,97.0185,7
Johor,Upper Secondary,2021,97,11
Melaka,Upper Secondary,2019,97,8
Negeri Sembilan,Upper Secondary,2019,96.9,9
Pulau Pinang,Upper Secondary,2019,96.9,10
Kelantan,Upper Secondary,2017,96.8805,8
Negeri Sembilan,Upper Secondary,2018,96.7493,6
Negeri Sembilan,Upper Secondary,2017,96.707,9
Kedah,Upper Secondary,2020,96.7,3
Kedah,Upper Secondary,2019,96.6,11
Sabah,Upper Secondary,2017,96.3273,10
Sarawak,Upper Secondary,2018,96.2509,7
Terengganu,Upper Secondary,2020,96.1,4
Sarawak,Upper Secondary,2019,96,12
Labuan,Upper Secondary,2021,96,12
Sarawak,Upper Secondary,2017,95.9102,11
Selangor,Upper Secondary,2019,95.8,13
Labuan,Upper Secondary,2020,95.8,5
Kedah,Upper Secondary,2018,95.7661,8
Selangor,Upper Secondary,2021,95.6,13
Pulau Pinang,Upper Secondary,2021,95.5,14
Pulau Pinang,Upper Secondary,2017,95.4438,12
Sabah,Upper Secondary,2018,95.4015,9
Sabah,Upper Secondary,2019,95.3,14
Putrajaya,Upper Secondary,2018,95.034,10
Pulau Pinang,Upper Secondary,2018,94.9794,11
Kuala Lumpur,Upper Secondary,2021,94.7,15
Perlis,Upper Secondary,2018,94.6984,12
Perlis,Upper Secondary,2019,94.6,15
Perlis,Upper Secondary,2017,94.5276,13
Perak,Upper Secondary,2017,94.4357,14
Sabah,Upper Secondary,2020,94.2,6
Melaka,Upper Secondary,2020,94.1,7
Johor,Upper Secondary,2018,93.7421,13
Putrajaya,Upper Secondary,2021,93.7,16
Putrajaya,Upper Secondary,2020,93.5,8
Negeri Sembilan,Upper Secondary,2020,93.3,9
Perlis,Upper Secondary,2020,93.3,10
Selangor,Upper Secondary,2020,93,11
Pahang,Upper Secondary,2019,92.9,16
Perak,Upper Secondary,2020,92.4,12
Kuala Lumpur,Upper Secondary,2017,92.2802,15
Pulau Pinang,Upper Secondary,2020,92,13
Kuala Lumpur,Upper Secondary,2018,91.9811,14
Sarawak,Upper Secondary,2020,91.8,14
Labuan,Upper Secondary,2018,91.4501,15
Perlis,Upper Secondary,2016,91.1528,16
Pahang,Upper Secondary,2017,90.8114,16
Johor,Upper Secondary,2020,89.2,15
Kelantan,Upper Secondary,2018,88.4185,16
Kuala Lumpur,Upper Secondary,2020,80.8,16
