state,year,sex,age,ethnicity,population,
Johor,2022,Female,0-4,Bumi (Malay),96,
Johor,2022,Female,0-4,Bumi (Other),3,
Johor,2022,Female,0-4,Chinese,32,
Johor,2022,Female,0-4,Indian,8,
Johor,2022,Female,0-4,Other (Citizen),1,
Johor,2022,Female,0-4,Other (Non-Citizen),1,
Johor,2022,Female,15-19,Bumi (Malay),94,
Johor,2022,Female,15-19,Bumi (Other),3,
Johor,2022,Female,15-19,Chinese,47,
Johor,2022,Female,15-19,Indian,10,
Johor,2022,Female,15-19,Other (Citizen),1,
Johor,2022,Female,15-19,Other (Non-Citizen),3,
Johor,2022,Female,20-24,Bumi (Malay),97,
Johor,2022,Female,20-24,Bumi (Other),3,
Johor,2022,Female,20-24,Chinese,50,
Johor,2022,Female,20-24,Indian,10,
Johor,2022,Female,20-24,Other (Citizen),1,
Johor,2022,Female,20-24,Other (Non-Citizen),10,
Johor,2022,Female,25-29,Bumi (Malay),87,
Johor,2022,Female,25-29,Bumi (Other),2,
Johor,2022,Female,25-29,Chinese,48,
Johor,2022,Female,25-29,Indian,10,
Johor,2022,Female,25-29,Other (Citizen),1,
Johor,2022,Female,25-29,Other (Non-Citizen),8,
Johor,2022,Female,30-34,Bumi (Malay),86,
Johor,2022,Female,30-34,Bumi (Other),2,
Johor,2022,Female,30-34,Chinese,46,
Johor,2022,Female,30-34,Indian,9,
Johor,2022,Female,30-34,Other (Citizen),1,
Johor,2022,Female,30-34,Other (Non-Citizen),6,
Johor,2022,Female,35-39,Bumi (Malay),85,
Johor,2022,Female,35-39,Bumi (Other),3,
Johor,2022,Female,35-39,Chinese,44,
Johor,2022,Female,35-39,Indian,9,
Johor,2022,Female,35-39,Other (Citizen),0,
Johor,2022,Female,35-39,Other (Non-Citizen),5,
Johor,2022,Female,40-44,Bumi (Malay),71,
Johor,2022,Female,40-44,Bumi (Other),2,
Johor,2022,Female,40-44,Chinese,42,
Johor,2022,Female,40-44,Indian,10,
Johor,2022,Female,40-44,Other (Citizen),0,
Johor,2022,Female,40-44,Other (Non-Citizen),4,
Johor,2022,Female,45-49,Bumi (Malay),58,
Johor,2022,Female,45-49,Bumi (Other),1,
Johor,2022,Female,45-49,Chinese,40,
Johor,2022,Female,45-49,Indian,8,
Johor,2022,Female,45-49,Other (Citizen),0,
Johor,2022,Female,45-49,Other (Non-Citizen),3,
