state,image_url
Johor,https://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Johor.svg
Kedah,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Kedah.svg
Kelantan,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Kelantan.svg
Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Kuala_Lumpur%2C_Malaysia.svg
Labuan,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Federal_Territories_of_Malaysia.svg
Melaka,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Malacca.svg
Negeri Sembilan,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_Negeri_Sembilan.svg
Pahang,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Pahang.svg
Perak,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_Perak.svg
Perlis,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Perlis.svg
Pulau Pinang,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Penang_%28Malaysia%29.svg
Putrajaya,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Putrajaya.svg
Sabah,https://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Sabah.svg
Sarawak,https://upload.wikimedia.org/wikipedia/commons/7/7e/Flag_of_Sarawak.svg
Selangor,https://upload.wikimedia.org/wikipedia/commons/0/0c/Flag_of_Selangor.svg
Terengganu,https://upload.wikimedia.org/wikipedia/commons/6/6b/Flag_of_Terengganu.svg
